ID,Name,Glottocode,Macroarea,Latitude,Longitude,Family_Glottocode,Family_Name
739_Kabiye_kabi1261,Kabiyé,kabi1261,Africa,8.96816,0.495023,atla1278,Atlantic-Congo
740_Kako_kako1242,Kako,kako1242,Africa,3.79989,15.6282,atla1278,Atlantic-Congo
741_Baangi_baan1242,Baangi,baan1242,Africa,10.8083,5.7261,atla1278,Atlantic-Congo
742_Central_Kanuri_cent2050,Central Kanuri,cent2050,Africa,11.8,13.13,saha1256,Saharan
743_Western_Karaboro_west2466,Western Karaboro,west2466,Africa,10.6298,-4.76482,atla1278,Atlantic-Congo
744_Karang_kara1478,Karang,kara1478,Africa,8.01727,15.2114,atla1278,Atlantic-Congo
745_Kasem_kase1253,Kasem,kase1253,Africa,11.0824,-1.39076,atla1278,Atlantic-Congo
746_Kasem_kase1253,Kasem,kase1253,Africa,11.0824,-1.39076,atla1278,Atlantic-Congo
747_Koonzime_koon1245,Koonzime,koon1245,Africa,3.25933,13.54152,atla1278,Atlantic-Congo
748_Kikuyu_kiku1240,Kikuyu,kiku1240,Africa,-0.29005,36.719,atla1278,Atlantic-Congo
749_Northern_Kissi_nort2765,Northern Kissi,nort2765,Africa,8.7283,-10.4063,atla1278,Atlantic-Congo
750_Kom_Cameroon_komc1235,Kom (Cameroon),komc1235,Africa,6.2596,10.3348,atla1278,Atlantic-Congo
751_Komo_Democratic_Republic_of_Congo_komo1260,Komo (Democratic Republic of Congo),komo1260,Africa,-0.76333,26.7144,atla1278,Atlantic-Congo
752_Konkomba_konk1269,Konkomba,konk1269,Africa,9.82224,0.2783,atla1278,Atlantic-Congo
753_Liberia_Kpelle_libe1247,Liberia Kpelle,libe1247,Africa,6.92048,-9.96128,mand1469,Mande
754_Guinea_Kpelle_guin1254,Guinea Kpelle,guin1254,Africa,7.93196,-8.98843,mand1469,Mande
755_Gbaya_Sudan_gbay1288,Gbaya (Sudan),gbay1288,Africa,8.43391,25.5173,kres1240,Kresh-Aja
756_Krio_krio1253,Krio,krio1253,Africa,10.8811,-14.3204,indo1319,Indo-European
757_Tepo_Krumen_tepo1239,Tepo Krumen,tepo1239,Africa,5.16267,-7.66346,atla1278,Atlantic-Congo
