ID,Name,Description,BIPA
BIPA_k_u006Bu01C2,kǂ,voiceless palatal click consonant,ǂ
BIPA_l_u006Cu0349,l͉,unreleased voiced alveolar lateral approximant consonant,l̚
BIPA_ir_u0069u02DEu02E4u02D0,i˞ˤː,long rhotacized pharyngealized unrounded close front vowel,i˞ˤː
BIPA_w_u026Fu0303,ɯ̃,nasalized unrounded close back vowel,ɯ̃
BIPA_l_u006Cu02D0,lː,long voiced alveolar lateral approximant consonant,lː
BIPA_d_u02C0u0064,ˀd,pre-glottalized voiced alveolar stop consonant,ˀd
BIPA_u_u0075u0320,u̠,retracted rounded close back vowel,u̠
BIPA_c_u0063u031F,c̟,advanced voiceless palatal stop consonant,c̟
BIPA_r_u027Eu0353,ɾ͓,with-friction voiced alveolar tap consonant,ɾ͓
BIPA_lg_u026Cu02E0,ɬˠ,velarized voiceless alveolar lateral fricative consonant,ɬˠ
UNK_br_u0062u02DE,b˞,,
UNK_r_u002Au0052u032Au0330,*R̪̰,,
BIPA_e_u0065u028Cu032F,eʌ̯,from unrounded close-mid front to non-syllabic unrounded open-mid back diphthong,eʌ̯
